性价比,价差,参考价,样本数,评分,标题,型号,品牌,类目,成色,价格,币种,购买方式,标记,所在地,卖家,好评率,上架时间,结束时间,链接,图片
超值,-36%,1299.99,41,90.0,[Near MINT] Pentax 645N 645 N Medium Format Film Camera Body 120 Film Back JAPAN,pentax 645n,Pentax,Film Cameras,Used,829.99,USD,FIXED_PRICE,grail:645N;good-cond,JP,yuk1camera-japan,100.0,2026-08-06T02:13:29.000Z,,https://www.ebay.com/itm/366589453604?hash=item555a6f2524:g:iIwAAeSwRT1qc-5D,https://i.ebayimg.com/images/g/iIwAAeSwRT1qc-5D/s-l225.jpg
超值,-32%,1329.99,49,90.0,[N MINT] Minolta CLE 35mm Rangefinder Film Camera Leica Leitz From JAPAN 1047081,minolta cle,Minolta,Film Cameras,Used,899.0,USD,FIXED_PRICE,grail:Minolta CLE;good-cond,JP,bgnsc_47,100.0,2026-08-06T17:06:49.000Z,,https://www.ebay.com/itm/398257178275?hash=item5cb9fa46a3:g:GLkAAeSwd3dqdMAe,https://i.ebayimg.com/images/g/GLkAAeSwd3dqdMAe/s-l225.jpg
超值,-29%,1350.0,47,90.0,[Near MINT ] Minolta TC-1 Point & Shoot 35mm Film Camera From JAPAN #2929,minolta tc-1,Minolta,Film Cameras,Used,958.99,USD,"FIXED_PRICE,BEST_OFFER",grail:TC-1;good-cond,JP,831camera,100.0,2026-08-06T08:26:32.000Z,,https://www.ebay.com/itm/377398694233?hash=item57deb71159:g:TS0AAeSwRT1qdDt5,https://i.ebayimg.com/images/g/TS0AAeSwRT1qdDt5/s-l225.jpg
偏低,-22%,249.99,21,88.0,Tested!【Exc+5】Contax RTS II Quartz 35mm SLR Film Camera Black Body From JAPAN,contax rts quartz,Contax,Film Cameras,Used,195.99,USD,"FIXED_PRICE,BEST_OFFER",grail:Contax RTS;good-cond,JP,nacamera_japan,100.0,2026-08-05T21:43:13.000Z,,https://www.ebay.com/itm/800467633481?hash=itemba5f96c549:g:AjcAAeSwsz9p1YQ1,https://i.ebayimg.com/images/g/AjcAAeSwsz9p1YQ1/s-l225.jpg
偏低,-10%,299.0,35,88.0,[Top MINT w/CASE ] LEICA Z2X Vario-Elmar 35-70mm Point & Shoot Camera From JAPAN,leica z2x,Leica,Film Cameras,Used,269.0,USD,FIXED_PRICE,grail:Elmar;good-cond,JP,syashinkiten_japan,100.0,2026-08-06T14:09:07.000Z,,https://www.ebay.com/itm/327297911440?hash=item4c3479ca90:g:YlsAAeSw64ZqdJax,https://i.ebayimg.com/images/g/YlsAAeSw64ZqdJax/s-l225.jpg
偏低,-13%,727.5,46,88.0,[ A MINT w/Boxed ] Leica R8 Black 35mm SLR Film Camera Body From Japan #2769,leica r8,Leica,Film Cameras,Used,634.99,USD,FIXED_PRICE,grail:Leica R8;good-cond,JP,japan-collection-camera-take,100.0,2026-08-06T13:01:34.000Z,,https://www.ebay.com/itm/398256539980?hash=item5cb9f0894c:g:4pAAAeSw88dp3Q-v,https://i.ebayimg.com/images/g/4pAAAeSw88dp3Q-v/s-l225.jpg
偏低,-8%,3274.95,80,88.0,[MINT ] Contax G2 Black Rangefinder Film Camera From JAPAN,contax g2,Contax,Film Cameras,Used,2999.99,USD,FIXED_PRICE,grail:Contax G2;good-cond,JP,tokiocamera,100.0,2026-08-06T01:44:47.000Z,,https://www.ebay.com/itm/318684495317?hash=item4a33137dd5:g:2aEAAeSwq0dqRQpt,https://i.ebayimg.com/images/g/2aEAAeSwq0dqRQpt/s-l225.jpg
合理,+0%,899.99,80,87.0,[ Near Mint w/ Hood Strap ] Contax G1 Film Camera Planar 45mm f2 Lens From JAPAN,contax g1,Contax,Film Cameras,Used,899.9,USD,FIXED_PRICE,grail:Contax G1;good-cond,JP,daisu19,99.5,2026-08-06T15:41:43.000Z,,https://www.ebay.com/itm/800471341375?hash=itemba5fcf593f:g:agwAAeSwMjhqdKu0,https://i.ebayimg.com/images/g/agwAAeSwMjhqdKu0/s-l225.jpg
超值,-41%,845.43,46,86.0,[MINT] SMC Pentax A 645 75mm F/2.8 Lens for 645 645N 645NII From JAPAN,pentax smc 75mm f2.8,Pentax,Lenses,Used,499.9,USD,FIXED_PRICE,grail:645;mount:pentax k;good-cond,JP,jp2014-kongf,100.0,2026-08-06T14:37:10.000Z,,https://www.ebay.com/itm/168593507139?hash=item2740f4c343:g:Dg0AAeSw0KxqdJzL,https://i.ebayimg.com/images/g/Dg0AAeSw0KxqdJzL/s-l225.jpg
合理,+6%,2550.0,9,86.0,Meter Works [Near MINT] PLAUBEL Makina W67 6x7 Film Camera 55mm Lens From JAPAN,plaubel w67,Plaubel,Film Cameras,Used,2699.99,USD,FIXED_PRICE,grail:6x7;55mm;good-cond,JP,megalithjapancamera,100.0,2026-08-06T00:08:17.000Z,,https://www.ebay.com/itm/398254602663?hash=item5cb9d2f9a7:g:23QAAeSwU7hqc9Eq,https://i.ebayimg.com/images/g/23QAAeSwU7hqc9Eq/s-l225.jpg
